Playlist Name: EDC Las Vegas Guest Mix,Song Name,Spotify ID,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
14,Don't Forget Us,7cAGdtcXLcnSWTJSaVnO6V,0.000361,https://api.spotify.com/v1/audio-analysis/7cAGdtcXLcnSWTJSaVnO6V,0.899,330296,0.684,7cAGdtcXLcnSWTJSaVnO6V,0.0295,0,0.111,-11.412,1,0.0931,125.01,4,https://api.spotify.com/v1/tracks/7cAGdtcXLcnSWTJSaVnO6V,audio_features,spotify:track:7cAGdtcXLcnSWTJSaVnO6V,0.621
15,Species,6lQ9DBIWX5fls8R1Ym0Hsw,0.00475,https://api.spotify.com/v1/audio-analysis/6lQ9DBIWX5fls8R1Ym0Hsw,0.772,175748,0.808,6lQ9DBIWX5fls8R1Ym0Hsw,1.59E-05,2,0.083,-7.424,1,0.257,127.081,4,https://api.spotify.com/v1/tracks/6lQ9DBIWX5fls8R1Ym0Hsw,audio_features,spotify:track:6lQ9DBIWX5fls8R1Ym0Hsw,0.448
16,Project 9,5CtSjtESWS1IvpEJhyv8ot,0.002,https://api.spotify.com/v1/audio-analysis/5CtSjtESWS1IvpEJhyv8ot,0.839,240000,0.77,5CtSjtESWS1IvpEJhyv8ot,0.589,11,0.0995,-5.684,1,0.0567,124.996,4,https://api.spotify.com/v1/tracks/5CtSjtESWS1IvpEJhyv8ot,audio_features,spotify:track:5CtSjtESWS1IvpEJhyv8ot,0.402
17,Peanut Butter Jelly Time,6wa5WccVt33Cuu3zRv9lam,0.000145,https://api.spotify.com/v1/audio-analysis/6wa5WccVt33Cuu3zRv9lam,0.417,284689,0.969,6wa5WccVt33Cuu3zRv9lam,0.848,1,0.464,-2.504,1,0.0697,174.085,4,https://api.spotify.com/v1/tracks/6wa5WccVt33Cuu3zRv9lam,audio_features,spotify:track:6wa5WccVt33Cuu3zRv9lam,0.111
18,Here We Are (feat. K̻ta),6ScufdzYjsaveIirsZ8knH,5.46E-05,https://api.spotify.com/v1/audio-analysis/6ScufdzYjsaveIirsZ8knH,0.756,196792,0.945,6ScufdzYjsaveIirsZ8knH,0.764,11,0.127,-3.483,0,0.067,149.998,4,https://api.spotify.com/v1/tracks/6ScufdzYjsaveIirsZ8knH,audio_features,spotify:track:6ScufdzYjsaveIirsZ8knH,0.12
19,Kick In,4UvNR7T8arx0LOBk33L3XK,0.00921,https://api.spotify.com/v1/audio-analysis/4UvNR7T8arx0LOBk33L3XK,0.652,192000,0.81,4UvNR7T8arx0LOBk33L3XK,0.102,11,0.692,-4.736,1,0.0525,149.95,4,https://api.spotify.com/v1/tracks/4UvNR7T8arx0LOBk33L3XK,audio_features,spotify:track:4UvNR7T8arx0LOBk33L3XK,0.318
20,Ever Work,0LUJ2r5d0vlPk4MEhWl7ro,0.181,https://api.spotify.com/v1/audio-analysis/0LUJ2r5d0vlPk4MEhWl7ro,0.539,230800,0.737,0LUJ2r5d0vlPk4MEhWl7ro,0.000153,8,0.111,-5.778,0,0.0652,74.977,4,https://api.spotify.com/v1/tracks/0LUJ2r5d0vlPk4MEhWl7ro,audio_features,spotify:track:0LUJ2r5d0vlPk4MEhWl7ro,0.129
21,Why,4PFTf2Mn37CSNvvFzZRdqY,0.0276,https://api.spotify.com/v1/audio-analysis/4PFTf2Mn37CSNvvFzZRdqY,0.918,282240,0.727,4PFTf2Mn37CSNvvFzZRdqY,0.808,1,0.0957,-6.337,0,0.107,124.977,4,https://api.spotify.com/v1/tracks/4PFTf2Mn37CSNvvFzZRdqY,audio_features,spotify:track:4PFTf2Mn37CSNvvFzZRdqY,0.362
22,BZZRK,3JHkaeEu57t2CSmOwxc0SJ,0.0486,https://api.spotify.com/v1/audio-analysis/3JHkaeEu57t2CSmOwxc0SJ,0.824,419512,0.572,3JHkaeEu57t2CSmOwxc0SJ,0.0589,7,0.129,-10.803,1,0.0841,123.006,4,https://api.spotify.com/v1/tracks/3JHkaeEu57t2CSmOwxc0SJ,audio_features,spotify:track:3JHkaeEu57t2CSmOwxc0SJ,0.332
23,Giant Squiddim (Herobust VIP),66MxSSoin9M05nx41pc5JH,0.00228,https://api.spotify.com/v1/audio-analysis/66MxSSoin9M05nx41pc5JH,0.81,225600,0.519,66MxSSoin9M05nx41pc5JH,0.595,1,0.0601,-7.206,1,0.0608,126.06,4,https://api.spotify.com/v1/tracks/66MxSSoin9M05nx41pc5JH,audio_features,spotify:track:66MxSSoin9M05nx41pc5JH,0.305
